logistic_region,origin_uuid,origin_name,origin_latitude,origin_longitude,Pedidos
ABC,ef3cde58-5781-49c0-9f07-f2e9f4cd6144,CARREFOUR MARKET - SAO CAETANO,-23.621161,-46.552768,70
ABC,0b16e704-23d1-4811-89fa-b52b0032bd1d,DO BAIRRO SUPERMERCADO,-23.700015,-46.560278,68
ABC,626b114b-71ee-4a60-94b0-c40653a77b53,MINI EXTRA PAULICEIA,-23.670258,-46.589516,68
ABC,3827ce1d-7a6f-4c18-b41d-50ff44da2342,MINI EXTRA VILA HOMERO THON,-23.666265,-46.495406,65
ABC,ca008f69-4adc-4731-83ed-4ad3097f8921,PET SHOP DR HATO - BAETA NEVES,-23.691775,-46.547693,62
ABC,69c3f1b4-eb99-462d-af16-7d37914fdc9e,PETZ DIADEMA,-23.685418,-46.615075,62
ABC,42b5c9a6-8f5e-471e-a00d-a81595b85cb6,PETZ GIOVANNI PIRELLI,-23.664836,-46.492213,61
ABC,a23239c3-b4ad-4f84-9ae4-95ca67a1e101,PETZ SAO BERNARDO,-23.721489,-46.540787,61
ABC,b8559366-a40c-4238-967f-6f404396ff71,COBASI - CAMINHO DO MAR,-23.666613,-46.568881,56
ABC,ff1a2667-200b-4de1-9c14-f73f19ef8c56,EMPORIUM E HORTIFRUTI HIGIENOPOLIS,-23.671424,-46.539169,55
ABC,ff1545b4-28d3-49a3-b709-9e1f80a34dd7,PETZ ASSAI ANCHIETA,-23.668892,-46.576016,55
ABC,55fd7ba9-fa03-488a-b44f-8511058983d1,MINI EXTRA - QUEIROS,-23.669106,-46.506072,54
ABC,cca1f33d-751e-472b-a937-7233d1ec5a8a,COOP - PEREIRA BARRETO,-23.678062,-46.53804,52
ABC,bcbb1f47-8eba-4cf1-8e8a-8db207408efc,COBASI - SBC FARIA LIMA,-23.713927,-46.552242,51
ABC,9ef6d257-df8f-46c3-ab13-29fc443e895b,COBASI - SANTO ANDRE P. BARRETO,-23.67691,-46.53688,50
ABC,38851ef3-cd36-4856-b840-8d14dc8448a9,MINUTO PAO DE ACUCAR - RUA ALEGRE,-23.618219,-46.55456,50
ABC,d4fe7bc2-c5a5-46a0-9b7b-5f8124c8d8fe,HIROTA - SAO BERNARDO,-23.712871,-46.547556,50
ABC,5873df50-cc20-4c56-a752-4fb1970ee173,COOP - RUDGE RAMOS,-23.651342,-46.5753,49
ABC,7533aff9-6b59-48d8-9650-64c03506d473,MINUTO PAO DE ACUCAR AV. PORTUGAL,-23.661835,-46.532943,45
ABC,ef96803d-71bb-4c59-858a-d4c6e46de852,MINI EXTRA GETULIO VARGAS,-23.693397,-46.544261,45
ABC,cc1dc7fa-4a6a-4819-a226-6f7ef83fe726,COBASI - PRESTES MAIA,-23.651908,-46.548959,45
ABC,b336727f-49c2-41ad-a0f0-e360b8ae178b,MINUTO PAO DE ACUCAR SHOPPING GOLDEN,-23.683756,-46.556629,39
ABC,ae452b30-4aad-42e4-be60-ba3f1e56523f,ULTRAFARMA PRESTES MAIA,-23.706675,-46.549178,39
ABC,3d5304ca-e7ce-48b0-b6b3-9ee91f0e515f,CARREFOUR BEBIDAS SAO CAETANO,-23.610744,-46.563902,39
ABC,2ab37792-92ef-4831-b3c5-fd3a9ef0a7c7,COBASI - SBC - JURUBATUBA,-23.703382,-46.553726,39
ABC,db718ca5-81c9-463d-b4ca-d649d2436f6b,DOGS DAY PET SHOP - S. BERNARDO,-23.696604,-46.553804,37
ABC,7096dbb0-02da-44fc-9bdb-f9c99143edf3,MINI EXTRA - LAGRIMAS,-23.64661,-46.57553,37
ABC,01c028e8-3e6a-4dd2-a275-45c8cbe6c32a,PETZ AVENIDA GOIAS,-23.616112,-46.567683,36
ABC,874a6bf7-5eae-4488-98e7-ea188ed3efbf,MINI EXTRA VIEIRA DE CARVALHO,-23.634813,-46.532416,36
ABC,5e502a28-4613-4da6-ba10-9a3c34e55065,MINI EXTRA - CAMPESTRE,-23.641767,-46.549748,35
ABC,22435155-d370-407e-8f01-c21e1599a03d,OXXO - IPANEMA,-23.672894,-46.561076,34
ABC,702fe41b-fd56-4ba3-b23b-255e002e6f72,PEG PESE SANTO ANDRE,-23.651209,-46.561335,34
ABC,5cb9ac45-3649-4e3c-a1bd-727c31c5509b,MINUTO PAO DE ACUCAR - REGENTE FEIJO,-23.671217,-46.526084,34
ABC,21915e63-b766-47bf-b3e4-6bb462c7f3e1,EXPRESS BY VILAREJO | SAO CAETANO DO SUL,-23.63036,-46.556538,33
ABC,84a7149c-996f-4ac7-8483-2ddcad1a91c8,LINO JARDIM HORTIFRUTI,-23.663175,-46.538925,32
ABC,3e3227eb-1fbc-4476-ada5-dbf20e176021,MINUTO PAO DE ACUCAR ESMERALDA,-23.652377,-46.535576,32
ABC,b3535b6b-4a73-44cd-acdc-4e764c835500,PETZ SHOPPING GOLDEN SQUARE,-23.68334,-46.557839,32
ABC,5a599139-5550-4094-9626-0b612f536c28,DOM JAIME HORTIFRUTI,-23.707219,-46.56801,31
ABC,a19acce5-8575-488c-90b5-eff8ce0509bf,PETZ - PEREIRA BARRETO,-23.692445,-46.548049,31
ABC,b54d301b-cf1a-4909-a696-50e89eb46ae3,HIROTA - SAO CAETANO,-23.618625,-46.569799,30
ABC,3452c76c-f73f-40ea-9f93-59743c982a13,PETZ SANTO ANDRE,-23.663052,-46.530509,28
ABC,c7a0ab0c-b3fb-43a8-b747-c029588fc5b7,VENCEDOR ATACADISTA LOJA 37 RIACHO GRANDE,-23.777831,-46.529857,27
ABC,a8e8a74e-6873-4f3b-80c9-af78eb7426f4,DROGASIL - SANTO ANDRE 5 - 1817,-23.632296,-46.531091,27
ABC,9909ac2e-cc9c-4bde-afa7-8586e5953720,DROGASIL - SAO CAETANO - B - 4059,-23.621785,-46.564236,26
ABC,3661b686-f8ef-4ce5-85e5-c061a9c94177,FARMACIA PAGUE MENOS - 7400 - RUA DAS FIGUEIRAS,-23.648362,-46.540452,26
ABC,f0f0812b-d8f5-4fac-b1d0-6e585e453c64,PROMOFARMA 76 - SAO CAETANO DO SUL,-23.638176,-46.559292,23
ABC,e4319dee-4649-4385-ac30-d78a09541600,MERCADO JULIA,-23.69286,-46.643315,23
ABC,25d12835-2e92-4830-ad79-8ab20ea0081c,LOPES SUPERMERCADOS SBC - BEBIDAS,-23.703787,-46.576717,23
ABC,e76bb0f1-be00-4b0a-aca3-a39d30dca5d5,MINI EXTRA OSVALDO CRUZ,-23.638083,-46.565035,23
ABC,9694bf68-74be-4fac-8bbb-58be46b25abf,ZEE NOW - ASSAI ANCHIETA,-23.668892,-46.576016,22
ABC,95533a44-1b14-42b0-9c66-978610a4fc2f,PET SHOP DR. HATO - MARTIM FRANCISCO,-23.628703,-46.515567,20
ABC,6e531bfc-ea08-4a9d-bb39-10f4959e8a38,DOGS DAY  PET  SHOP -  S. BERNARDO 2,-23.71795,-46.551726,19
ABC,d5438718-4e6d-4935-a6cb-f049dcf1bfe7,DROGASIL - SANTO ANDRE 7 - 1958,-23.672611,-46.539687,19
ABC,8abb7707-d43c-4812-8b9f-2aa70903edac,DROGARIA SAO PAULO - NOVA DIADEMA,-23.687203,-46.626086,19
ABC,a8c6c28f-0674-4765-967a-d7042ad1b13e,MCDONALD'S - PRESTES MAIA(PMA),-23.712196,-46.543347,19
ABC,a4677032-40d7-495a-9e8f-2fb52a66ec7a,BIG BY CARREFOUR SAO CAETANO,-23.61048,-46.565001,19
ABC,ef32e056-9788-4f05-a501-3505a28bd509,ZEE NOW SHOPPING GOLDEN SQUARE,-23.68334,-46.557839,19
ABC,6e51334b-848a-4c15-84e1-dcc19c9cd6b5,CARREFOUR EXPRESS - PRACA DA MOCA,-23.691601,-46.623328,19
ABC,f1c6b889-9795-477a-be16-649bf188a223,PETZ CARREFOUR SAO CAETANO,-23.610227,-46.564543,18
ABC,69f1a750-99ce-48c8-a2cb-81740ac1ce9a,CARREFOUR BEBIDAS - SANTO ANDRE SHOPPING,-23.669627,-46.535781,17
ABC,d92df8cc-a92f-4d6c-8434-119307989850,COBASI PET FACIL - SANTO ANDRE,-23.661029,-46.529593,17
ABC,811839b8-43c9-4cb1-8da8-d48e64bf4409,PATTIES SANTO ANDRE,-23.641721,-46.55032,17
ABC,6654d017-9664-4421-9147-6f410852ec15,CARREFOUR EXPRESS - AMAZONAS,-23.614239,-46.569329,16
ABC,56c728e5-c336-402a-a410-226e3c29c278,MCDONALD'S - TABOAO DRIVE(TAD),-23.658278,-46.597771,16
ABC,6301f32c-f2a7-473a-924b-41970c6df76c,CARREFOUR EXPRESS - VISCONDE DE INHAUMA,-23.636764,-46.564749,16
ABC,61c34c1c-9817-4cab-aff0-ac434fbab250,ZEE NOW JOAO FIRMINO,-23.719369,-46.561899,16
ABC,7b186411-2401-40c6-b924-83ad8bdd77e3,COOP - CAFE FILHO,-23.728684,-46.574209,15
ABC,276ea877-6e55-4f19-9c6e-1017487f5df3,PETZ SANTO ANDRE DOM PEDRO,-23.647752,-46.536993,15
ABC,5748b9ae-b679-4983-88c4-b9eb19e16daf,FARMA CONDE 262,-23.720134,-46.563353,15
ABC,e270451d-57cf-42e0-a75d-839eecff7924,MINI EXTRA FIGUEIRAS,-23.642737,-46.543806,15
ABC,453b49f5-c9f4-4ae3-aa08-9992135c342f,ULTRAFARMA ALVES DIAS,-23.716847,-46.584106,13
ABC,343cbd9d-c56d-4ef0-9eb9-d8d156e4c7e4,ZEE NOW SAO BERNARDO,-23.721489,-46.540787,13
ABC,17d78d31-a0d4-4380-8813-253230731515,ZEE NOW GIOVANNI PIRELLI,-23.664836,-46.492213,13
ABC,085ad8b2-f1bf-47d1-a6b4-58eb109bde13,DROGARIA CARREFOUR - SANTO ANDRE - 764,-23.661452,-46.51037,13
ABC,edd84804-38a6-48c8-accc-65228af47ab2,CARREFOUR HIPER - SAO CAETANO,-23.613833,-46.551859,13
ABC,c7660f7b-d14c-44b3-b780-bfa114eb81ba,EXTRA BEBIDAS - VILA GILDA,-23.672549,-46.540074,13
ABC,07dd2144-93c2-4cf5-a0d7-fa0c80dc345c,MERCADO CIZI EXPRESS,-23.692396,-46.560148,12
ABC,952c637d-915d-4e0e-9549-263eed4bc309,MCDONALD'S - CAP. MARIO T. CAMARGO (CMT),-23.696772,-46.506021,12
ABC,09420bf8-1ca3-4fa9-82e6-1ed098ceed45,DROGASIL - S CAETANO DO SUL 6 - 1685,-23.643698,-46.560824,12
ABC,62f14128-c6e8-4601-98fa-3fb58f59a5b3,DROGARIA SAO PAULO - SERRARIA,-23.699281,-46.61191,12
ABC,729f3df7-c0c9-43a6-95bb-cc4e2cc34cad,ZEE NOW DIADEMA,-23.685418,-46.615075,12
ABC,65d20ac2-08ae-4022-957e-8a334426642b,EXTRA BEBIDAS - RUDGE RAMOS,-23.65523,-46.572024,12
